Date,Cash,AAPL Qty,MSFT Qty,JPM Qty,XOM Qty,JNJ Qty,PG Qty,NVDA Qty,CAT Qty,HD Qty,AMZN Qty,AAPL Price,MSFT Price,JPM Price,XOM Price,JNJ Price,PG Price,NVDA Price,CAT Price,HD Price,AMZN Price,Portfolio Value,Market Value
2024-11-01,217620.4100000001,482,304,-397,0,615,836,0,412,365,516,222.91,410.37,222.94,114.95,160.13,165.1,135.4,379.63,392.59,197.93,782026.26,999646.6700000002
2024-11-04,968506.4,482,304,0,0,0,836,0,412,365,0,222.01,408.46,219.78,118.61,158.24,165.08,136.05,376.52,395.57,195.78,668696.8300000001,1637203.23
2024-11-05,1026309.84,482,304,0,0,0,836,0,0,365,0,223.45,411.46,221.49,118.96,158.35,165.76,139.91,383.37,400.09,199.5,517394.94999999995,1543704.79
2024-11-06,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,222.72,420.18,247.06,121.0,157.88,161.05,145.61,416.88,388.37,207.09,0.0,1403432.0599999998
2024-11-07,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,227.48,425.43,236.38,121.15,156.73,163.41,148.88,408.21,399.44,210.05,0.0,1403432.0599999998
2024-11-08,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,226.96,422.54,236.98,121.11,155.47,167.71,147.63,393.37,405.9,208.18,0.0,1403432.0599999998
2024-11-11,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,224.23,418.01,239.29,120.47,155.04,166.03,145.26,396.54,408.29,206.84,0.0,1403432.0599999998
2024-11-12,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,224.23,423.03,239.56,120.35,152.64,165.84,148.29,393.01,403.08,208.91,0.0,1403432.0599999998
2024-11-13,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,225.12,425.2,241.16,121.47,153.24,166.58,146.27,387.07,410.19,214.1,0.0,1403432.0599999998
2024-11-14,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,228.22,426.89,241.87,120.56,151.87,167.08,146.76,387.36,405.72,211.48,0.0,1403432.0599999998
2024-11-15,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,225.0,415.0,245.31,119.31,154.0,169.54,141.98,384.07,408.18,202.61,0.0,1403432.0599999998
2024-11-18,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,228.02,415.76,245.03,120.31,154.77,170.75,140.15,384.46,410.44,201.7,0.0,1403432.0599999998
2024-11-19,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,228.28,417.79,243.09,118.63,153.0,170.76,147.01,382.33,406.8,204.61,0.0,1403432.0599999998
2024-11-20,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,229.0,415.49,240.78,120.32,153.11,170.89,145.89,381.5,400.0,202.88,0.0,1403432.0599999998
2024-11-21,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,228.52,412.87,244.76,121.93,155.5,172.75,146.67,389.59,410.45,198.38,0.0,1403432.0599999998
2024-11-22,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,229.87,417.0,248.55,121.79,155.17,176.28,141.95,397.49,420.0,197.12,0.0,1403432.0599999998
2024-11-25,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,232.87,418.79,250.29,119.97,155.78,177.39,136.02,405.65,428.67,201.45,0.0,1403432.0599999998
2024-11-26,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,235.06,427.99,249.97,117.97,154.52,179.31,136.92,407.83,429.52,207.86,0.0,1403432.0599999998
2024-11-27,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,234.93,422.99,249.79,117.66,155.4,179.36,135.34,403.7,427.19,205.74,0.0,1403432.0599999998
2024-11-29,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,237.33,423.46,249.72,117.96,155.01,179.26,138.25,406.11,429.13,207.89,0.0,1403432.0599999998
2024-12-02,2403001.1,-784,-333,-769,1213,-685,-1119,1320,-457,-434,-614,239.59,430.98,246.25,117.85,154.8,179.7,138.63,402.51,426.96,210.71,-1000523.4500000002,1402477.65
2024-12-03,1403432.0599999998,-784,-333,-769,1213,-685,-1119,1320,-457,-434,-614,242.65,431.2,244.82,117.67,152.36,175.42,140.26,399.26,429.35,213.44,-994730.3300000001,408701.72999999975
2024-12-04,776942.4299999998,0,0,0,0,0,0,0,-457,-434,0,243.01,437.42,243.4,114.28,150.47,175.11,145.14,399.51,427.92,218.16,-368293.35,408649.07999999984
2024-12-05,1222258.9799999997,0,0,0,0,0,0,0,0,-434,0,243.04,442.62,245.48,114.78,149.52,176.03,145.06,394.98,426.54,220.55,-185118.36000000002,1037140.6199999998
2024-12-06,1403432.0599999998,0,0,0,0,0,0,0,0,-434,0,242.84,443.57,247.36,113.57,149.31,173.82,142.44,395.03,431.37,227.03,-187214.58000000002,1216217.4799999997
2024-12-09,1403432.0599999998,0,0,0,0,0,0,0,0,-434,0,246.75,446.02,243.81,112.9,149.6,170.79,138.81,399.26,429.18,226.09,-186264.12,1217167.94
2024-12-10,1403432.0599999998,0,0,0,0,0,0,0,0,-434,0,247.77,443.33,242.86,112.67,149.23,172.28,135.07,388.39,422.59,225.04,-183404.06,1220027.9999999998
2024-12-11,1403432.0599999998,0,0,0,0,0,0,0,0,-434,0,246.49,448.99,243.53,111.92,146.64,170.63,139.31,388.87,421.38,230.26,-182878.91999999998,1220553.14
2024-12-12,1223278.6599999997,0,0,0,0,0,0,0,0,0,0,247.96,449.56,241.53,111.82,146.24,170.85,137.34,380.78,414.42,228.97,0.0,1223278.6599999997
2024-12-13,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,248.13,447.27,239.94,110.84,146.62,171.06,134.25,380.51,416.98,227.46,0.0,1403432.0599999998
2024-12-16,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,251.04,451.59,239.58,108.47,143.85,171.14,132.0,378.92,410.71,232.93,0.0,1403432.0599999998
2024-12-17,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,253.48,454.46,238.36,108.01,146.41,170.33,130.39,375.8,408.47,231.15,0.0,1403432.0599999998
2024-12-18,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,248.05,437.39,230.37,106.42,144.75,169.08,128.91,363.89,393.82,220.52,0.0,1403432.0599999998
2024-12-19,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,249.79,437.03,232.96,105.51,143.58,169.19,130.68,360.37,385.02,223.29,0.0,1403432.0599999998
2024-12-20,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,254.49,436.6,237.6,105.87,144.47,168.06,134.7,366.04,392.6,224.92,0.0,1403432.0599999998
2024-12-23,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,255.27,435.25,238.39,106.3,145.27,168.11,139.67,365.39,392.45,225.06,0.0,1403432.0599999998
2024-12-24,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,258.2,439.33,242.31,106.4,145.85,168.94,140.22,367.57,396.14,229.05,0.0,1403432.0599999998
2024-12-26,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,259.02,438.11,243.14,106.49,145.58,170.16,139.93,367.12,395.14,227.05,0.0,1403432.0599999998
2024-12-27,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,255.59,430.53,241.17,106.48,145.05,169.53,137.01,364.86,392.86,223.75,0.0,1403432.0599999998
2024-12-30,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,252.2,424.83,239.32,105.76,143.34,167.09,137.49,363.01,389.43,221.3,0.0,1403432.0599999998
2024-12-31,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,250.42,421.5,239.71,107.57,144.62,167.65,134.29,362.76,388.99,219.39,0.0,1403432.0599999998
2025-01-02,403930.57999999996,-509,340,471,1151,628,675,1048,396,335,540,243.85,418.58,240.0,107.31,144.02,165.98,138.31,359.77,388.46,220.22,993703.12,1397633.7
2025-01-03,1554270.6999999997,-509,340,471,1151,628,675,0,396,335,540,243.36,423.35,243.28,107.86,144.19,165.13,144.47,363.79,389.18,224.19,856313.31,2410584.01
2025-01-06,1512802.3099999998,-509,340,471,1151,628,0,0,396,335,540,245.0,427.85,240.85,107.74,143.66,160.6,149.43,364.2,389.37,227.61,746003.1199999999,2258805.4299999997
2025-01-07,1403432.0599999998,-509,340,471,1151,628,0,0,396,335,540,242.21,422.37,243.17,108.75,146.23,161.3,140.14,363.0,384.23,222.11,744262.12,2147694.1799999997
2025-01-08,1408132.1899999997,0,340,471,1151,628,0,0,396,0,540,242.7,424.56,243.13,106.93,142.27,162.1,140.11,361.07,387.2,222.13,734220.5399999999,2142352.7299999995
2025-01-10,1543683.38,0,340,471,1151,628,0,0,0,0,540,236.85,418.95,239.87,106.54,142.06,158.56,135.91,351.0,389.89,218.94,585490.5900000001,2129173.9699999997
2025-01-13,1543773.8599999999,0,0,471,1151,628,0,0,0,0,540,234.4,417.19,244.21,109.29,144.47,158.84,133.23,362.5,389.18,218.46,449511.26,1993285.1199999999
2025-01-14,1403432.0599999998,0,0,471,1151,628,0,0,0,0,540,233.28,415.67,247.47,109.72,144.75,159.74,131.76,371.57,392.78,217.76,451339.49,1854771.5499999998
2025-01-15,1649406.6099999999,0,0,0,0,628,0,0,0,0,540,237.87,426.31,252.35,111.51,144.97,159.65,136.24,374.89,406.09,223.35,211650.16,1861056.7699999998
2025-01-16,1403432.0599999998,0,0,0,0,628,0,0,0,0,540,228.26,424.58,254.27,111.32,147.77,160.5,133.57,380.55,409.33,220.66,211955.96000000002,1615388.0199999998
2025-01-17,1403432.0599999998,0,0,0,0,628,0,0,0,0,540,229.98,429.03,259.16,112.32,147.03,161.13,137.71,386.02,409.38,225.94,214342.44,1617774.4999999998
2025-01-21,1527032.66,0,0,0,0,628,0,0,0,0,0,222.64,428.5,263.03,111.47,148.15,161.72,140.83,398.36,418.43,230.71,93038.2,1620070.8599999999
2025-01-22,1403432.0599999998,0,0,0,0,628,0,0,0,0,0,223.83,446.2,262.84,109.53,145.27,164.74,147.07,397.61,410.1,235.01,91229.56000000001,1494661.6199999999
2025-01-23,1403432.0599999998,0,0,0,0,628,0,0,0,0,0,223.66,446.71,265.95,110.15,146.64,166.15,147.22,406.4,414.39,235.42,92089.92,1495521.9799999997
2025-01-24,1403432.0599999998,0,0,0,0,628,0,0,0,0,0,222.78,444.06,264.84,108.66,146.82,164.12,142.62,407.63,414.5,234.85,92202.95999999999,1495635.0199999998
2025-01-27,1497644.6199999999,0,0,0,0,0,0,0,0,0,0,229.86,434.56,265.85,110.17,152.89,169.66,118.42,394.98,424.87,235.42,0.0,1497644.6199999999
2025-01-28,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,238.26,447.2,267.14,108.04,150.38,166.19,128.99,390.29,418.83,238.15,0.0,1403432.0599999998
2025-01-29,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,239.36,442.33,266.58,108.67,151.15,166.23,123.7,393.23,413.42,237.07,0.0,1403432.0599999998
2025-01-30,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,237.59,414.99,268.23,109.57,152.87,167.41,124.65,374.98,414.5,234.64,0.0,1403432.0599999998
2025-01-31,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,236.0,415.06,267.3,106.83,152.15,165.99,120.07,371.44,411.98,237.68,0.0,1403432.0599999998
2025-02-03,2402796.76,1041,860,-1332,-2002,-2055,-1447,3358,-672,-705,-1424,228.01,410.92,266.81,107.09,151.87,168.76,116.66,361.55,408.76,237.42,-1012803.2600000001,1389993.4999999995
2025-02-04,1804242.94,1041,860,-1332,-2002,-2055,-1447,0,-672,-705,-1424,232.8,412.37,267.94,109.96,153.49,168.13,118.65,361.95,411.49,242.06,-1416783.35,387459.58999999985
2025-02-05,1403432.0599999998,1041,860,-1332,-2002,-2055,-1447,0,-672,-705,-1424,232.47,413.29,270.43,109.88,154.69,169.01,124.83,358.85,413.82,236.17,-1414403.65,-10971.590000000084
2025-02-06,1040475.3799999999,1041,860,0,-2002,-2055,-1447,0,-672,-705,-1424,233.22,415.82,276.9,108.43,153.51,168.88,128.68,365.45,414.16,238.83,-1054181.17,-13705.790000000037
2025-02-07,1403432.0599999998,1041,860,0,-2002,-2055,-1447,0,-672,-705,-1424,227.63,409.75,275.8,108.89,153.12,167.97,129.84,363.88,407.37,229.15,-1044396.9500000002,359035.10999999964
2025-02-10,1181370.2199999997,1041,860,0,0,-2055,-1447,0,-672,-705,-1424,227.65,412.22,271.04,110.97,154.24,167.53,133.57,363.22,413.99,233.14,-835824.41,345545.8099999997
2025-02-11,1403432.0599999998,1041,860,0,0,-2055,-1447,0,-672,-705,-1424,232.62,411.44,274.99,111.67,156.13,169.43,132.8,362.23,416.36,232.76,-838419.1399999999,565012.9199999999
2025-02-12,1403432.0599999998,1041,860,0,0,-2055,-1447,0,-672,-705,-1424,236.87,409.04,275.45,107.35,155.26,169.58,131.14,352.04,407.14,228.93,-815686.3899999999,587745.6699999999
2025-02-13,1328531.2399999998,0,860,0,0,0,-1447,0,-672,-705,-1424,241.53,410.54,276.32,108.13,157.25,171.02,135.29,353.7,412.43,230.37,-750897.97,577633.2699999998
2025-02-14,1403432.0599999998,0,860,0,0,0,-1447,0,-672,-705,-1424,244.6,408.43,276.59,108.24,156.15,162.89,138.85,353.32,409.5,228.68,-736220.89,667211.1699999998
2025-02-18,1083943.42,0,860,0,0,0,-1447,0,-672,-705,0,244.47,409.64,279.95,110.14,154.99,165.43,139.4,354.0,403.31,226.65,-409308.36000000004,674635.0599999998
2025-02-19,1167869.1799999997,0,860,0,0,0,-1447,0,0,-705,0,244.87,414.77,279.25,110.3,157.89,166.49,139.23,353.0,395.43,226.63,-162986.98,1004882.1999999997
2025-02-20,1403432.0599999998,0,860,0,0,0,-1447,0,0,-705,0,245.83,416.13,266.8,112.0,159.68,167.21,140.11,349.15,394.64,222.88,-162302.27000000005,1241129.7899999998
2025-02-21,1128171.8599999999,0,860,0,0,0,-1447,0,0,0,0,245.55,408.21,264.24,110.69,162.3,170.23,134.43,340.04,385.3,216.58,104737.78999999998,1232909.65
2025-02-24,1154866.4,0,860,0,0,0,0,0,0,0,0,247.1,404.0,261.34,111.27,163.74,170.54,130.28,338.92,382.42,212.71,347440.0,1502306.4
2025-02-25,1403432.0599999998,0,860,0,0,0,0,0,0,0,0,247.04,397.9,257.4,109.73,166.09,172.65,126.63,342.36,393.29,212.8,342194.0,1745626.0599999998
2025-02-26,1403432.0599999998,0,860,0,0,0,0,0,0,0,0,240.36,399.73,258.79,109.46,163.08,171.3,131.28,342.58,390.48,214.35,343767.8,1747199.8599999999
2025-02-27,1743149.2599999998,0,0,0,0,0,0,0,0,0,0,237.3,392.53,259.05,110.15,163.73,171.97,120.15,340.0,390.27,208.74,0.0,1743149.2599999998
2025-02-28,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,241.84,396.99,264.65,111.33,165.02,173.84,124.92,343.95,396.6,212.28,0.0,1403432.0599999998
2025-03-03,924099.4399999998,-2162,1334,1807,-3778,-3392,-3646,0,1425,1363,2539,238.03,388.49,260.62,107.76,167.28,175.59,114.06,332.04,389.69,205.02,384683.20999999996,1308782.65
2025-03-04,2820848.1499999994,-2162,1334,0,-3778,-3392,-3646,0,0,1363,0,235.93,388.61,250.25,107.54,165.42,173.18,115.99,326.75,381.68,203.8,-1070250.1199999999,1750598.0299999996
2025-03-05,1005910.8999999999,-2162,1334,0,0,-3392,-3646,0,0,1363,0,235.74,401.02,251.53,105.44,165.12,174.61,117.3,338.49,386.35,208.36,-644829.2500000002,361081.6499999997
2025-03-06,1403432.0599999998,-2162,1334,0,0,-3392,-3646,0,0,1363,0,235.33,396.89,246.54,107.62,165.83,174.66,110.57,341.01,381.73,200.7,-658339.9299999999,745092.1299999999
2025-03-07,1913711.9999999998,-2162,1334,0,0,-3392,-3646,0,0,0,0,239.07,393.31,242.28,109.02,166.69,175.95,112.69,350.3,376.8,199.25,-1199119.98,714592.0199999998
2025-03-10,914409.2799999998,0,1334,0,0,-3392,-3646,0,0,0,0,227.48,380.16,232.22,111.8,167.7,176.26,106.98,345.21,374.65,194.54,-704348.9199999998,210060.36
2025-03-11,1403432.0599999998,0,1334,0,0,-3392,-3646,0,0,0,0,220.84,380.45,229.14,109.16,165.86,173.12,108.76,339.77,368.16,196.59,-686272.3400000001,717159.7199999997
2025-03-12,1403432.0599999998,0,1334,0,0,-3392,-3646,0,0,0,0,216.98,383.27,227.9,109.13,162.85,168.37,115.74,338.13,364.73,198.89,-654982.04,748450.0199999998
2025-03-13,1907670.7199999997,0,0,0,0,-3392,-3646,0,0,0,0,209.68,378.77,225.19,108.67,162.99,168.59,115.58,333.31,347.25,193.89,-1167541.2200000002,740129.4999999995
2025-03-14,1403432.0599999998,0,0,0,0,-3392,-3646,0,0,0,0,213.49,388.56,232.44,111.9,162.81,167.97,121.67,339.64,351.31,197.95,-1164670.1400000001,238761.9199999997
2025-03-17,1403432.0599999998,0,0,0,0,-3392,-3646,0,0,0,0,214.0,388.7,233.93,113.76,162.84,169.76,119.53,342.64,354.13,195.74,-1171298.24,232133.81999999983
2025-03-18,1403432.0599999998,0,0,0,0,-3392,-3646,0,0,0,0,212.69,383.52,234.97,113.64,164.25,167.71,115.43,336.71,349.57,192.82,-1168606.6600000001,234825.39999999967
2025-03-19,1403432.0599999998,0,0,0,0,-3392,-3646,0,0,0,0,215.24,387.82,239.11,115.41,162.99,168.57,117.52,338.62,353.42,195.54,-1167468.3,235963.75999999978
2025-03-20,1403432.0599999998,0,0,0,0,-3392,-3646,0,0,0,0,214.1,386.84,239.01,115.9,163.02,167.55,118.53,336.25,355.52,194.95,-1163851.1400000001,239580.9199999997
2025-03-21,1403432.0599999998,0,0,0,0,-3392,-3646,0,0,0,0,218.27,391.26,241.63,115.5,163.63,166.69,117.7,335.78,351.15,196.21,-1162784.7,240647.35999999987
2025-03-24,1403432.0599999998,0,0,0,0,-3392,-3646,0,0,0,0,220.73,393.08,248.06,115.8,163.29,165.65,121.41,341.67,363.77,203.26,-1157839.58,245592.47999999975
2025-03-25,808696.5399999998,0,0,0,0,-3392,0,0,0,0,0,223.75,395.16,251.13,116.59,161.02,162.85,120.69,342.62,360.99,205.71,-546179.8400000001,262516.6999999997
2025-03-26,1403432.0599999998,0,0,0,0,-3392,0,0,0,0,0,221.53,389.97,251.03,118.27,161.72,166.58,113.76,341.11,362.13,201.13,-548554.24,854877.8199999998
2025-03-27,1403432.0599999998,0,0,0,0,-3392,0,0,0,0,0,223.85,390.58,248.12,117.89,163.13,168.71,111.43,339.3,362.73,201.36,-553336.96,850095.0999999999
2025-03-28,1403432.0599999998,0,0,0,0,-3392,0,0,0,0,0,217.9,378.8,242.85,117.73,163.71,168.03,109.67,329.69,358.15,192.72,-555304.3200000001,848127.7399999998
2025-03-31,840902.7799999998,0,0,0,0,0,0,0,0,0,0,222.13,375.39,245.3,118.93,165.84,170.42,108.38,329.8,366.49,190.26,0.0,840902.7799999998
2025-04-01,977759.9800000001,3854,2126,-2095,-8672,0,4570,10308,-2591,-1861,0,223.19,382.19,243.66,119.04,153.25,170.56,110.15,330.57,365.52,192.17,508073.42999999993,1485833.4100000001
2025-04-02,3366751.1399999997,3854,0,-2095,-8672,0,4570,0,-2591,-1861,0,223.89,382.14,245.82,118.67,155.36,169.5,110.42,334.66,370.89,196.01,-1463942.4300000002,1902808.7099999995
2025-04-03,-765882.8700000001,0,0,0,0,0,4570,0,0,0,0,203.19,373.11,228.69,112.43,159.82,172.39,101.8,305.76,355.91,178.41,787822.2999999999,21939.42999999982
2025-04-04,2163788.6599999997,0,0,0,0,0,0,0,0,0,0,188.38,359.84,210.28,104.34,153.24,163.75,94.31,288.08,353.9,171.0,0.0,2163788.6599999997
2025-04-07,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,181.46,357.86,214.44,102.94,150.62,160.23,97.64,280.06,341.51,175.26,0.0,1403432.0599999998
2025-04-08,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,172.42,354.56,216.87,100.77,150.0,158.39,96.3,273.94,335.24,170.66,0.0,1403432.0599999998
2025-04-09,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,198.85,390.49,234.34,105.8,150.97,162.32,114.33,301.01,355.39,191.1,0.0,1403432.0599999998
2025-04-10,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,190.42,381.35,227.11,99.93,148.69,163.56,107.57,289.16,353.62,181.22,0.0,1403432.0599999998
2025-04-11,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,198.15,388.45,236.2,103.14,151.73,166.91,110.93,293.45,353.86,184.87,0.0,1403432.0599999998
2025-04-14,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,202.52,387.81,234.72,103.39,154.36,169.13,110.71,298.12,357.2,182.12,0.0,1403432.0599999998
2025-04-15,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,202.14,385.73,233.13,103.1,153.62,168.47,112.2,293.43,354.11,179.59,0.0,1403432.0599999998
2025-04-16,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,194.27,371.61,229.61,104.19,153.91,166.39,104.49,290.14,345.99,174.33,0.0,1403432.0599999998
2025-04-17,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,196.98,367.78,231.96,106.92,157.47,170.63,101.49,294.25,355.06,172.61,0.0,1403432.0599999998
2025-04-21,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,193.16,359.12,228.99,105.35,156.92,165.75,96.91,284.74,346.9,167.32,0.0,1403432.0599999998
2025-04-22,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,199.74,366.82,235.59,108.3,157.75,167.88,98.89,291.17,354.43,173.18,0.0,1403432.0599999998
2025-04-23,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,204.6,374.39,240.88,107.37,155.38,165.73,102.71,295.77,356.42,180.6,0.0,1403432.0599999998
2025-04-24,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,208.37,387.3,244.64,108.63,154.93,159.53,106.43,306.86,359.64,186.54,0.0,1403432.0599999998
2025-04-25,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,209.28,391.85,243.55,108.57,154.58,161.02,111.01,306.45,357.58,188.99,0.0,1403432.0599999998
2025-04-28,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,210.14,391.16,243.22,108.63,155.35,161.85,108.73,307.06,356.92,187.7,0.0,1403432.0599999998
